,pgd_h
575,0.029121938206169613
576,0.029121524401549338
577,0.02912067961968644
578,0.0291200713766808
579,0.029119614923326514
580,0.029119122859063817
581,0.029118608712911116
582,0.029118203441560474
583,0.029117326424951972
584,0.029116744865337225
585,0.02911631613793044
586,0.029115870753719165
587,0.029115256965440976
588,0.029114665279773203
589,0.0291141615836453
590,0.029113825359240886
591,0.029113108874871663
592,0.029112618294416668
593,0.029112239774522226
594,0.029111830249760696
595,0.02911129924480426
596,0.02911074537956692
597,0.0291102892337035
598,0.02910998327561111
599,0.02910934824294553
600,0.02910889168294784
601,0.0291085554320486
602,0.029108178216519266
603,0.02910779660235752
604,0.029107486969296475
605,0.029106834782151376
606,0.02910638575252851
607,0.029106065468625843
608,0.02910572252344945
609,0.029105262628217454
610,0.029104807599607006
611,0.029104419812283882
612,0.029104167376555995
613,0.02910361639553861
614,0.029103245602690526
615,0.02910295767630474
616,0.029102640579386066
617,0.029102233934993886
618,0.029101807212776696
619,0.029101454281376338
620,0.02910122337751025
621,0.029100724239668183
622,0.029100377898768796
623,0.029100119726302352
624,0.02909982635949506
625,0.029099465549394722
626,0.029099064986687007
627,0.029098739962893503
628,0.029098527976270407
629,0.02909807447506973
630,0.029097750597086733
631,0.029097518806952372
632,0.029097245811467973
633,0.02909692936360879
634,0.029096553413775567
635,0.029096254000173537
636,0.029096057584754184
637,0.02909564435408009
638,0.02909534071061063
639,0.029095126936112246
640,0.029094870923411977
641,0.029094579261042895
642,0.029094224894365344
643,0.029093945873561202
644,0.029093761992025992
645,0.029093379249816496
646,0.029093092768269966
647,0.02909289102393379
648,0.02909264989757944
649,0.02909241445584827
650,0.029092216068021075
651,0.02909180363110349
652,0.02909150768394544
653,0.029091296819928072
654,0.029091070913292362
655,0.029090763679937987
656,0.02909047495807593
657,0.029090241958194592
658,0.02909008864471849
659,0.02908974140993892
660,0.029089506200087538
661,0.029089326703248673
662,0.029089120388759767
663,0.02908886177465081
664,0.029088585814961317
665,0.029088352044235436
666,0.02908820473037101
667,0.029087873983426216
668,0.029087653853404564
669,0.029087489285753634
670,0.02908729768174515
671,0.029087062769179613
672,0.02908680060920137
673,0.029086575014747425
674,0.02908643080668093
675,0.0290861034624779
676,0.029085890574131548
677,0.029085719718757876
678,0.029085533227280254
679,0.029085281787818208
680,0.02908503419355122
681,0.0290848197915981
682,0.02908468177375625
683,0.029084366982935272
684,0.02908416563433293
685,0.02908400224079423
686,0.029083825008378864
687,0.029083587413841334
688,0.02908335377010832
689,0.02908314683542316
690,0.029083013022376352
691,0.02908271143086535
692,0.02908251943504149
693,0.029082362429465436
694,0.029082195849642046
695,0.029081959964042385
696,0.02908173985292125
697,0.029081550151959887
698,0.029081423724032246
699,0.02908113986150928
700,0.02908095718116327
701,0.029080807758543513
702,0.029080648013094082
703,0.029080407566630512
704,0.029080197873316144
705,0.029080000264796096
706,0.029079874195516817
707,0.029079591595929634
708,0.029079414944179323
709,0.02907926245874247
710,0.029079110564379514
711,0.02907886576575336
712,0.029078667894484857
713,0.029078495054792593
714,0.029078370629628928
715,0.02907809230584809
716,0.029077924080727444
717,0.02907777991997753
718,0.029077637066954817
719,0.029077394998011007
720,0.029077214971406837
721,0.029077053831971452
722,0.029076947659529038
723,0.029076729143328484
724,0.029076569202784654
725,0.029076436894463258
726,0.029076304568671708
727,0.0290761491715431
728,0.02907598203385762
729,0.029075833541320477
730,0.029075718837915352
731,0.02907548185997846
732,0.029075305722869767
733,0.02907510278665114
734,0.029074847051797116
735,0.029074228703435415
736,0.029074064354826474
737,0.02907389728955391
738,0.02907377086155429
739,0.0290735064262432
740,0.029073345211344206
741,0.02907318065998804
742,0.029073056747979678
743,0.029072789633160047
744,0.029072635807922517
745,0.029072474389003164
746,0.029072344222877203
747,0.029072081944999762
748,0.029071920629451353
749,0.029071749150419605
750,0.029071632063150357
751,0.029071349688492953
752,0.029071206144628815
753,0.029071049124047576
754,0.029070912906046027
755,0.029070653193284224
756,0.02907048798072275
757,0.029070306991509233
758,0.02907019747928037
759,0.029069896926491964
760,0.029069764018052287
761,0.02906961080535455
762,0.02906946416375862
763,0.029069209671555674
764,0.029069034735841742
765,0.029068839957086867
766,0.0290687398950165
767,0.029068411339116966
768,0.02906829019277344
769,0.029068144155969724
770,0.029067979569356393
771,0.029067737129039838
772,0.029067537684922772
773,0.029067322610950644
774,0.029067236953663023
